ndc,gennme_c,prodnme
00378392693,Febuxostat,FEBUXOSTAT
62332019130,Febuxostat,FEBUXOSTAT
00378392593,Febuxostat,FEBUXOSTAT
47335072183,Febuxostat,FEBUXOSTAT
62332019030,Febuxostat,FEBUXOSTAT
72205002930,Febuxostat,FEBUXOSTAT
47335072283,Febuxostat,FEBUXOSTAT
64764091830,Febuxostat,ULORIC
00054041313,Febuxostat,FEBUXOSTAT
72205002830,Febuxostat,FEBUXOSTAT
64764067730,Febuxostat,ULORIC
00054041413,Febuxostat,FEBUXOSTAT
