state,year,quarter,suppression_used,total_prescriptions
hi,2018,4,FALSE,303
hi,2019,1,FALSE,301
hi,2019,2,FALSE,262
hi,2019,3,FALSE,242
hi,2019,3,TRUE,0
hi,2019,4,FALSE,255
hi,2019,4,TRUE,0
hi,2020,1,NA,191
ia,2017,1,FALSE,13
ia,2017,1,TRUE,0
ia,2017,2,FALSE,18
ia,2017,2,TRUE,0
ia,2017,3,FALSE,24
ia,2017,3,TRUE,0
ia,2017,4,FALSE,26
ia,2017,4,TRUE,0
ia,2018,1,TRUE,0
ia,2018,2,FALSE,22
ia,2018,2,TRUE,0
ia,2018,3,FALSE,26
ia,2018,3,TRUE,0
ia,2018,4,FALSE,25
ia,2018,4,TRUE,0
ia,2019,1,FALSE,33
ia,2019,1,TRUE,0
ia,2019,2,FALSE,31
ia,2019,2,TRUE,0
ia,2019,3,FALSE,32
ia,2019,3,TRUE,0
ia,2019,4,FALSE,12
ia,2019,4,TRUE,0
ia,2020,1,NA,0
id,2017,1,TRUE,0
id,2017,2,FALSE,16
id,2017,2,TRUE,0
id,2017,3,FALSE,16
id,2017,3,TRUE,0
id,2017,4,FALSE,18
id,2017,4,TRUE,0
id,2018,1,FALSE,20
id,2018,1,TRUE,0
id,2018,2,FALSE,13
id,2018,2,TRUE,0
id,2018,3,FALSE,15
id,2018,3,TRUE,0
id,2018,4,FALSE,14
id,2018,4,TRUE,0
id,2019,1,TRUE,0
id,2019,2,FALSE,27
id,2019,3,TRUE,0
id,2019,4,TRUE,0
id,2020,1,NA,13
il,2017,1,FALSE,375
il,2017,2,FALSE,261
il,2017,3,FALSE,272
il,2017,4,FALSE,293
il,2018,1,FALSE,259
il,2018,2,FALSE,208
il,2018,2,TRUE,0
il,2018,3,FALSE,192
il,2018,3,TRUE,0
il,2018,4,FALSE,210
il,2018,4,TRUE,0
il,2019,1,FALSE,190
il,2019,1,TRUE,0
il,2019,2,FALSE,218
il,2019,2,TRUE,0
il,2019,3,FALSE,187
il,2019,3,TRUE,0
il,2019,4,FALSE,142
il,2019,4,TRUE,0
il,2020,1,NA,126
in,2017,1,FALSE,373
in,2017,2,FALSE,388
in,2017,3,FALSE,330
in,2017,3,TRUE,0
in,2017,4,FALSE,352
in,2018,1,FALSE,351
in,2018,2,FALSE,362
in,2018,3,FALSE,377
in,2018,4,FALSE,371
in,2019,1,FALSE,372
in,2019,2,FALSE,332
in,2019,3,FALSE,256
in,2019,3,TRUE,0
in,2019,4,FALSE,290
in,2019,4,TRUE,0
in,2020,1,NA,264
ks,2017,1,FALSE,43
ks,2017,2,FALSE,126
ks,2017,3,FALSE,38
ks,2017,3,TRUE,0
ks,2017,4,FALSE,57
ks,2018,1,FALSE,58
ks,2018,2,FALSE,55
ks,2018,3,FALSE,52
ks,2018,4,FALSE,55
ks,2019,1,FALSE,50
ks,2019,2,FALSE,51
ks,2019,3,FALSE,32
ks,2019,3,TRUE,0
ks,2019,4,FALSE,13
ks,2019,4,TRUE,0
ks,2020,1,NA,29
ky,2017,1,FALSE,774
ky,2017,1,TRUE,0
ky,2017,2,FALSE,304
ky,2017,2,TRUE,0
ky,2017,3,FALSE,759
ky,2017,3,TRUE,0
ky,2017,4,FALSE,800
ky,2017,4,TRUE,0
ky,2018,1,FALSE,714
ky,2018,1,TRUE,0
ky,2018,2,FALSE,686
ky,2018,2,TRUE,0
ky,2018,3,FALSE,721
ky,2018,3,TRUE,0
ky,2018,4,FALSE,711
ky,2018,4,TRUE,0
ky,2019,1,FALSE,696
ky,2019,1,TRUE,0
ky,2019,2,FALSE,657
ky,2019,2,TRUE,0
ky,2019,3,FALSE,547
ky,2019,3,TRUE,0
ky,2019,4,FALSE,552
ky,2019,4,TRUE,0
ky,2020,1,NA,505
la,2017,1,FALSE,225
la,2017,1,TRUE,0
la,2017,2,FALSE,283
la,2017,2,TRUE,0
la,2017,3,FALSE,274
la,2017,3,TRUE,0
la,2017,4,FALSE,312
la,2018,1,FALSE,291
la,2018,1,TRUE,0
la,2018,2,FALSE,288
la,2018,2,TRUE,0
la,2018,3,FALSE,289
la,2018,3,TRUE,0
la,2018,4,FALSE,259
la,2018,4,TRUE,0
la,2019,1,FALSE,261
la,2019,1,TRUE,0
la,2019,2,FALSE,218
la,2019,2,TRUE,0
la,2019,3,FALSE,169
la,2019,3,TRUE,0
la,2019,4,FALSE,145
la,2019,4,TRUE,0
la,2020,1,NA,155
ma,2017,1,FALSE,222
ma,2017,2,FALSE,254
ma,2017,3,FALSE,227
ma,2017,4,FALSE,230
ma,2018,1,FALSE,244
ma,2018,2,FALSE,266
ma,2018,3,FALSE,241
ma,2018,4,FALSE,255
ma,2019,1,FALSE,238
ma,2019,2,FALSE,264
ma,2019,3,FALSE,187
ma,2019,3,TRUE,0
ma,2019,4,FALSE,217
ma,2019,4,TRUE,0
ma,2020,1,NA,214
md,2017,1,FALSE,220
md,2017,1,TRUE,0
md,2017,2,FALSE,220
md,2017,3,FALSE,214
md,2017,4,FALSE,248
md,2017,4,TRUE,0
md,2018,1,FALSE,256
md,2018,1,TRUE,0
md,2018,2,FALSE,230
md,2018,2,TRUE,0
md,2018,3,FALSE,208
md,2018,3,TRUE,0
md,2018,4,FALSE,215
md,2018,4,TRUE,0
md,2019,1,FALSE,187
md,2019,1,TRUE,0
md,2019,2,FALSE,173
md,2019,2,TRUE,0
md,2019,3,FALSE,119
md,2019,3,TRUE,0
md,2019,4,FALSE,109
md,2019,4,TRUE,0
md,2020,1,NA,113
me,2017,1,FALSE,16
me,2017,1,TRUE,0
me,2017,2,FALSE,31
me,2017,2,TRUE,0
me,2017,3,FALSE,35
me,2017,3,TRUE,0
me,2017,4,FALSE,45
me,2018,1,FALSE,23
me,2018,1,TRUE,0
me,2018,2,FALSE,23
me,2018,2,TRUE,0
me,2018,3,FALSE,23
me,2018,3,TRUE,0
me,2018,4,FALSE,25
me,2018,4,TRUE,0
me,2019,1,FALSE,24
me,2019,1,TRUE,0
me,2019,2,FALSE,22
me,2019,2,TRUE,0
me,2019,3,FALSE,20
me,2019,3,TRUE,0
me,2019,4,FALSE,20
me,2019,4,TRUE,0
me,2020,1,NA,25
mi,2017,1,FALSE,312
mi,2017,2,FALSE,315
mi,2017,2,TRUE,0
mi,2017,3,FALSE,349
mi,2017,3,TRUE,0
mi,2017,4,FALSE,303
mi,2017,4,TRUE,0
mi,2018,1,FALSE,280
mi,2018,1,TRUE,0
mi,2018,2,FALSE,315
mi,2018,2,TRUE,0
mi,2018,3,FALSE,276
mi,2018,3,TRUE,0
mi,2018,4,FALSE,309
mi,2018,4,TRUE,0
mi,2019,1,FALSE,283
mi,2019,1,TRUE,0
mi,2019,2,FALSE,264
mi,2019,2,TRUE,0
