state,year,quarter,gennme_c,suppression_used,total_prescriptions
de,2018,2,Febuxostat,FALSE,30
de,2018,2,Febuxostat,TRUE,0
de,2018,3,Febuxostat,FALSE,32
de,2018,3,Febuxostat,TRUE,0
de,2018,4,Febuxostat,FALSE,28
de,2018,4,Febuxostat,TRUE,0
de,2019,1,Febuxostat,FALSE,29
de,2019,1,Febuxostat,TRUE,0
de,2019,2,Febuxostat,FALSE,27
de,2019,2,Febuxostat,TRUE,0
de,2019,3,Febuxostat,TRUE,0
de,2019,4,Febuxostat,TRUE,0
de,2020,1,Febuxostat,NA,0
fl,2017,1,Febuxostat,FALSE,197
fl,2017,1,Febuxostat,TRUE,0
fl,2017,2,Febuxostat,FALSE,241
fl,2017,2,Febuxostat,TRUE,0
fl,2017,3,Febuxostat,FALSE,221
fl,2017,3,Febuxostat,TRUE,0
fl,2017,4,Febuxostat,FALSE,211
fl,2017,4,Febuxostat,TRUE,0
fl,2018,1,Febuxostat,FALSE,204
fl,2018,1,Febuxostat,TRUE,0
fl,2018,2,Febuxostat,FALSE,197
fl,2018,2,Febuxostat,TRUE,0
fl,2018,3,Febuxostat,FALSE,212
fl,2018,3,Febuxostat,TRUE,0
fl,2018,4,Febuxostat,FALSE,231
fl,2018,4,Febuxostat,TRUE,0
fl,2019,1,Febuxostat,FALSE,223
fl,2019,1,Febuxostat,TRUE,0
fl,2019,2,Febuxostat,FALSE,222
fl,2019,2,Febuxostat,TRUE,0
fl,2019,3,Febuxostat,FALSE,173
fl,2019,3,Febuxostat,TRUE,0
fl,2019,4,Febuxostat,FALSE,158
fl,2019,4,Febuxostat,TRUE,0
fl,2020,1,Febuxostat,NA,103
ga,2017,1,Febuxostat,FALSE,169
ga,2017,1,Febuxostat,TRUE,0
ga,2017,2,Febuxostat,FALSE,188
ga,2017,2,Febuxostat,TRUE,0
ga,2017,3,Febuxostat,FALSE,195
ga,2017,3,Febuxostat,TRUE,0
ga,2017,4,Febuxostat,FALSE,187
ga,2017,4,Febuxostat,TRUE,0
ga,2018,1,Febuxostat,FALSE,186
ga,2018,1,Febuxostat,TRUE,0
ga,2018,2,Febuxostat,FALSE,195
ga,2018,2,Febuxostat,TRUE,0
ga,2018,3,Febuxostat,FALSE,214
ga,2018,3,Febuxostat,TRUE,0
ga,2018,4,Febuxostat,FALSE,220
ga,2018,4,Febuxostat,TRUE,0
ga,2019,1,Febuxostat,FALSE,232
ga,2019,1,Febuxostat,TRUE,0
ga,2019,2,Febuxostat,FALSE,203
ga,2019,2,Febuxostat,TRUE,0
ga,2019,3,Febuxostat,FALSE,126
ga,2019,3,Febuxostat,TRUE,0
ga,2019,4,Febuxostat,FALSE,128
ga,2019,4,Febuxostat,TRUE,0
ga,2020,1,Febuxostat,NA,126
hi,2017,1,Febuxostat,FALSE,368
hi,2017,1,Febuxostat,TRUE,0
hi,2017,2,Febuxostat,FALSE,376
hi,2017,3,Febuxostat,FALSE,294
hi,2017,4,Febuxostat,FALSE,257
hi,2018,1,Febuxostat,FALSE,318
hi,2018,2,Febuxostat,FALSE,361
hi,2018,3,Febuxostat,FALSE,334
hi,2018,4,Febuxostat,FALSE,303
hi,2019,1,Febuxostat,FALSE,301
hi,2019,2,Febuxostat,FALSE,262
hi,2019,3,Febuxostat,FALSE,242
hi,2019,3,Febuxostat,TRUE,0
hi,2019,4,Febuxostat,FALSE,255
hi,2019,4,Febuxostat,TRUE,0
hi,2020,1,Febuxostat,NA,191
ia,2017,1,Febuxostat,FALSE,13
ia,2017,1,Febuxostat,TRUE,0
ia,2017,2,Febuxostat,FALSE,18
ia,2017,2,Febuxostat,TRUE,0
ia,2017,3,Febuxostat,FALSE,24
ia,2017,3,Febuxostat,TRUE,0
ia,2017,4,Febuxostat,FALSE,26
ia,2017,4,Febuxostat,TRUE,0
ia,2018,1,Febuxostat,TRUE,0
ia,2018,2,Febuxostat,FALSE,22
ia,2018,2,Febuxostat,TRUE,0
ia,2018,3,Febuxostat,FALSE,26
ia,2018,3,Febuxostat,TRUE,0
ia,2018,4,Febuxostat,FALSE,25
ia,2018,4,Febuxostat,TRUE,0
ia,2019,1,Febuxostat,FALSE,33
ia,2019,1,Febuxostat,TRUE,0
ia,2019,2,Febuxostat,FALSE,31
ia,2019,2,Febuxostat,TRUE,0
ia,2019,3,Febuxostat,FALSE,32
ia,2019,3,Febuxostat,TRUE,0
ia,2019,4,Febuxostat,FALSE,12
ia,2019,4,Febuxostat,TRUE,0
ia,2020,1,Febuxostat,NA,0
id,2017,1,Febuxostat,TRUE,0
id,2017,2,Febuxostat,FALSE,16
id,2017,2,Febuxostat,TRUE,0
id,2017,3,Febuxostat,FALSE,16
id,2017,3,Febuxostat,TRUE,0
id,2017,4,Febuxostat,FALSE,18
id,2017,4,Febuxostat,TRUE,0
id,2018,1,Febuxostat,FALSE,20
id,2018,1,Febuxostat,TRUE,0
id,2018,2,Febuxostat,FALSE,13
id,2018,2,Febuxostat,TRUE,0
id,2018,3,Febuxostat,FALSE,15
id,2018,3,Febuxostat,TRUE,0
id,2018,4,Febuxostat,FALSE,14
id,2018,4,Febuxostat,TRUE,0
id,2019,1,Febuxostat,TRUE,0
id,2019,2,Febuxostat,FALSE,27
id,2019,3,Febuxostat,TRUE,0
id,2019,4,Febuxostat,TRUE,0
id,2020,1,Febuxostat,NA,13
il,2017,1,Febuxostat,FALSE,375
il,2017,2,Febuxostat,FALSE,261
il,2017,3,Febuxostat,FALSE,272
il,2017,4,Febuxostat,FALSE,293
il,2018,1,Febuxostat,FALSE,259
il,2018,2,Febuxostat,FALSE,208
il,2018,2,Febuxostat,TRUE,0
il,2018,3,Febuxostat,FALSE,192
il,2018,3,Febuxostat,TRUE,0
il,2018,4,Febuxostat,FALSE,210
il,2018,4,Febuxostat,TRUE,0
il,2019,1,Febuxostat,FALSE,190
il,2019,1,Febuxostat,TRUE,0
il,2019,2,Febuxostat,FALSE,218
il,2019,2,Febuxostat,TRUE,0
il,2019,3,Febuxostat,FALSE,187
il,2019,3,Febuxostat,TRUE,0
il,2019,4,Febuxostat,FALSE,142
il,2019,4,Febuxostat,TRUE,0
il,2020,1,Febuxostat,NA,126
in,2017,1,Febuxostat,FALSE,373
in,2017,2,Febuxostat,FALSE,388
in,2017,3,Febuxostat,FALSE,330
in,2017,3,Febuxostat,TRUE,0
in,2017,4,Febuxostat,FALSE,352
in,2018,1,Febuxostat,FALSE,351
in,2018,2,Febuxostat,FALSE,362
in,2018,3,Febuxostat,FALSE,377
in,2018,4,Febuxostat,FALSE,371
in,2019,1,Febuxostat,FALSE,372
in,2019,2,Febuxostat,FALSE,332
